,function
0,_acceptAdmin
1,_addReserves
2,_functions
3,_reduceReserves
4,_setComptroller
5,_setImplementation
6,_setInterestRateModel
7,_setPendingAdmin
8,_setReserveFactor
9,abi
10,accrualBlockNumber
11,accrueInterest
12,address
13,admin
14,allowance
15,approve
16,balanceOf
17,balanceOfUnderlying
18,borrow
19,borrowBalanceCurrent
20,borrowBalanceStored
21,borrowIndex
22,borrowRatePerBlock
23,comptroller
24,decimals
25,delegateToImplementation
26,delegateToViewImplementation
27,exchangeRateCurrent
28,exchangeRateStored
29,getAccountSnapshot
30,getCash
31,implementation
32,interestRateModel
33,isCToken
34,liquidateBorrow
35,mint
36,name
37,pendingAdmin
38,redeem
39,redeemUnderlying
40,repayBorrow
41,repayBorrowBehalf
42,reserveFactorMantissa
43,seize
44,supplyRatePerBlock
45,sweepToken
46,symbol
47,totalBorrows
48,totalBorrowsCurrent
49,totalReserves
50,totalSupply
51,transfer
52,transferFrom
53,underlying
54,web3
