,fromAddress,CNT_DEX_TX,TOTAL_DEX_OUT,MIN_BLOCK_ANALYZED,MAX_BLOCK_ANALYZED,FREQ_CNT_DEX_TX,MAX_DEX_OUT,CNT_UNISWAP_OUT,SUM_UNISWAP_OUT,CNT_KYBER_OUT,SUM_KYBER_OUT,CNT_DXDY_OUT,SUM_DXDY_OUT,CNT_nan_OUT,SUM_nan_OUT,CNT_BALANCER_OUT,SUM_BALANCER_OUT,CNT_DEX_AG_OUT,SUM_DEX_AG_OUT,CNT_AIRSWAP_OUT,SUM_AIRSWAP_OUT,CNT_TOTLE_OUT,SUM_TOTLE_OUT,CNT_ONE_INCH_OUT,SUM_ONE_INCH_OUT,CNT_PARASWAP_V2_OUT,SUM_PARASWAP_V2_OUT,CNT_BINANCE_OUT,SUM_BINANCE_OUT,ADDRESS_CATEGORY
0,0X2FAACBD1A3C6045C42A587092CF9A21360A3337D,2633,1103.0565772216191,11795234,12692721,340,14.5,2633,1.1030565772216215e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVILEGE
1,0XEEAD1D36F3460F0C32DD400CDE6167A6A0D3BA9F,239,116.19427028569025,11763855,12692720,3886,3.912160818072686,239,1.1619427028569028e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GOLD
2,0X1208CB3BA9A8E50CA975F7A459E183B6C138005F,138,63.0856278866831,11478091,12692720,8801,2.6,138,6.308562788668309e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SILVER
3,0X9BFFD9BC367C93E4CC9F27588E74175EC4A6D31E,266,12.596861799513244,12105673,12692720,2206,0.5,266,1.2596861799513245e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRONZE
4,0XAEBB37D016A76B84BAFB4F493EA8663F03F42EEA,35,8.7986857676878,12535978,12692720,4478,2.5,35,8.798685767687803e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRONZE
5,0XC2674E8585B51606FC2105623818C057BE56AC42,71,7.041579747227623,12454920,12692720,3349,1.006882129078537,71,7.041579747227624e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOW
6,0X4785F0B147B57C2AC822C14A2A7E47060462D466,13,3.95,12466697,12692720,17386,1.0,13,3.95e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LOW
7,0X6B703F99417EA06A5576EC1EC83C546E258369B9,29,3.118184103290333,12009972,12692720,23543,0.6026918421076745,29,3.1181841032903325e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MINIMAL
8,0X179A976ADBAF29437889F7DF8ED4820CBDC742FE,69,1.1069543774466246,12531993,12692720,2329,0.093,69,1.1069543774466248e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MINIMAL
9,0XD565EFC43035C81701D5C5FF99A08CAF8537B28A,5,0.30852377906236844,12692521,12692720,39,0.09188744750453937,5,3.0852377906236846e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MINIMAL
10,0XAA2B56390B06F0E0239B19DDAB07B25DB45D2F31,5,0.06871237,12658993,12692720,6745,0.035,5,6.871237e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MINIMAL
11,0XEFDFFB2DFCEFE05ABD2075E8843C50F12838BE70,1,0.01813,12692720,12692720,0,0.01813,1,1.813e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MINIMAL
12,0X607C876EED80235FD71184633B36FE567B47FBDA,1,0.008,12692720,12692720,0,0.008,1,8.000000000000001e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MINIMAL
13,0XE72B2AD703CF8F509BC730093EAA223575EB7C90,1,0.0,12692720,12692720,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MINIMAL
14,0XBB9B02830D9D2BBBBC0BCEE0A31C0320B6A35C9C,1,0.0,12692720,12692720,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MINIMAL
